cite,cited,subgraph_1hop,subgraph_2hop,subgraph_3hop
35,1117476,"[[35, 54132, 82920, 210871, 210871, 210872, 210872], [210871, 1117476, 35, 1117476, 35, 210871, 35]]","[[35, 35, 35, 35061, 44514, 54132, 82920, 82920, 210871, 210871, 210871, 210872, 210872, 210872, 273152], [210871, 273152, 35061, 210871, 210871, 1117476, 273152, 35, 1117476, 273152, 35, 210871, 273152, 35, 210871]]","[[35, 35, 35, 35, 32083, 35061, 44514, 54132, 82920, 82920, 141342, 210871, 210871, 210871, 210872, 210872, 210872, 273152], [141342, 210871, 273152, 35061, 35061, 210871, 210871, 1117476, 273152, 35, 35061, 1117476, 273152, 35, 210871, 273152, 35, 210871]]"
35,1119708,"[[35, 35, 35, 14062, 14062, 82920, 82920, 141342, 141347, 210871, 210872, 210872], [141342, 141347, 210871, 1119708, 141347, 1119708, 35, 1119708, 1119708, 35, 210871, 35]]","[[35, 35, 35, 35, 35, 14062, 14062, 35061, 44514, 82920, 82920, 82920, 141342, 141342, 141347, 210871, 210871, 210872, 210872, 210872, 273152], [141342, 141347, 210871, 273152, 35061, 1119708, 141347, 210871, 210871, 1119708, 273152, 35, 1119708, 35061, 1119708, 273152, 35, 210871, 273152, 35, 210871]]","[[35, 35, 35, 35, 35, 14062, 14062, 32083, 35061, 44514, 82920, 82920, 82920, 141342, 141342, 141347, 210871, 210871, 210872, 210872, 210872, 273152], [141342, 141347, 210871, 273152, 35061, 1119708, 141347, 35061, 210871, 210871, 1119708, 273152, 35, 1119708, 35061, 1119708, 273152, 35, 210871, 273152, 35, 210871]]"
35,1123756,"[[35, 35, 28230, 82920, 124952, 210871, 210872, 210872, 287787], [210871, 287787, 1123756, 35, 1123756, 35, 210871, 35, 1123756]]","[[35, 35, 35, 35, 28230, 35061, 44514, 82920, 82920, 110041, 124952, 210871, 210871, 210872, 210872, 210872, 273152, 287787], [210871, 273152, 287787, 35061, 1123756, 210871, 210871, 273152, 35, 287787, 1123756, 273152, 35, 210871, 273152, 35, 210871, 1123756]]","[[35, 35, 35, 35, 35, 28230, 32083, 35061, 44514, 82920, 82920, 110041, 124952, 141342, 210871, 210871, 210872, 210872, 210872, 273152, 287787], [141342, 210871, 273152, 287787, 35061, 1123756, 35061, 210871, 210871, 273152, 35, 287787, 1123756, 35061, 273152, 35, 210871, 273152, 35, 210871, 1123756]]"
35,1127430,"[[35, 35, 82920, 85352, 210871, 210872, 210872], [210871, 85352, 35, 1127430, 35, 210871, 35]]","[[35, 35, 35, 35, 35061, 44514, 82920, 82920, 85352, 210871, 210871, 210872, 210872, 210872, 273152], [210871, 273152, 35061, 85352, 210871, 210871, 273152, 35, 1127430, 273152, 35, 210871, 273152, 35, 210871]]","[[35, 35, 35, 35, 35, 32083, 35061, 44514, 82920, 82920, 85352, 141342, 210871, 210871, 210872, 210872, 210872, 273152], [141342, 210871, 273152, 35061, 85352, 35061, 210871, 210871, 273152, 35, 1127430, 35061, 273152, 35, 210871, 273152, 35, 210871]]"
35,1127913,"[[35, 35, 35, 82920, 82920, 103515, 210871, 210872, 210872, 231249], [103515, 210871, 231249, 1127913, 35, 1127913, 35, 210871, 35, 1127913]]","[[35, 35, 35, 35, 35, 35, 8865, 35061, 44514, 82920, 82920, 82920, 103515, 210871, 210871, 210872, 210872, 210872, 231249, 273152], [103515, 210871, 231249, 273152, 35061, 8865, 103515, 210871, 210871, 1127913, 273152, 35, 1127913, 273152, 35, 210871, 273152, 35, 1127913, 210871]]","[[35, 35, 35, 35, 35, 35, 35, 8865, 32083, 35061, 44514, 82920, 82920, 82920, 103515, 141342, 210871, 210871, 210872, 210872, 210872, 231249, 273152], [103515, 141342, 210871, 231249, 273152, 35061, 8865, 103515, 35061, 210871, 210871, 1127913, 273152, 35, 1127913, 35061, 273152, 35, 210871, 273152, 35, 1127913, 210871]]"
35,1128227,"[[35, 35, 44368, 82920, 210871, 210872, 210872, 220420, 577331], [210871, 44368, 1128227, 35, 35, 210871, 35, 1128227, 1128227]]","[[35, 35, 35, 35, 35, 35, 35, 1688, 14062, 35061, 44368, 44514, 82920, 82920, 210871, 210871, 210872, 210872, 210872, 220420, 273152, 503883, 503883, 577331, 647447], [1688, 210871, 273152, 35061, 44368, 503883, 647447, 44368, 44368, 210871, 1128227, 210871, 273152, 35, 273152, 35, 210871, 273152, 35, 1128227, 210871, 577331, 647447, 1128227, 577331]]","[[35, 35, 35, 35, 35, 35, 35, 35, 35, 1688, 8874, 14062, 32083, 35061, 44368, 44514, 58758, 82920, 82920, 141342, 210871, 210871, 210872, 210872, 210872, 220420, 273152, 287787, 287787, 503883, 503883, 577331, 647447], [141342, 1688, 210871, 273152, 287787, 35061, 44368, 503883, 647447, 44368, 647447, 44368, 35061, 210871, 1128227, 210871, 1688, 273152, 35, 35061, 273152, 35, 210871, 273152, 35, 1128227, 210871, 503883, 647447, 577331, 647447, 1128227, 577331]]"
35,1128314,"[[35, 35, 82920, 103515, 210871, 210872, 210872, 579108], [103515, 210871, 35, 1128314, 35, 210871, 35, 1128314]]","[[35, 35, 35, 35, 35, 8865, 35061, 44514, 82920, 82920, 103515, 210871, 210871, 210872, 210872, 210872, 273152, 579108], [103515, 210871, 273152, 35061, 8865, 103515, 210871, 210871, 273152, 35, 1128314, 273152, 35, 210871, 273152, 35, 210871, 1128314]]","[[35, 35, 35, 35, 35, 35, 8865, 32083, 35061, 44514, 82920, 82920, 103515, 141342, 210871, 210871, 210872, 210872, 210872, 273152, 579108], [103515, 141342, 210871, 273152, 35061, 8865, 103515, 35061, 210871, 210871, 273152, 35, 1128314, 35061, 273152, 35, 210871, 273152, 35, 210871, 1128314]]"
35,1128453,"[[35, 35, 35, 82920, 87417, 87417, 87417, 210871, 210872, 210872, 289780, 289781, 289781], [210871, 289780, 289781, 35, 1128453, 289780, 289781, 35, 210871, 35, 1128453, 1128453, 289780]]","[[35, 35, 35, 35, 35, 35, 35061, 44514, 58436, 58453, 58454, 82920, 82920, 87417, 87417, 87417, 87417, 210871, 210871, 210872, 210872, 210872, 273152, 289779, 289780, 289781, 289781], [210871, 273152, 289779, 289780, 289781, 35061, 210871, 210871, 87417, 87417, 87417, 273152, 35, 1128453, 289779, 289780, 289781, 273152, 35, 210871, 273152, 35, 210871, 289780, 1128453, 1128453, 289780]]","[[35, 35, 35, 35, 35, 35, 35, 463, 32083, 35061, 44514, 58436, 58453, 58454, 82920, 82920, 87417, 87417, 87417, 87417, 141342, 210871, 210871, 210872, 210872, 210872, 273152, 289779, 289780, 289781, 289781], [141342, 210871, 273152, 289779, 289780, 289781, 35061, 58454, 35061, 210871, 210871, 87417, 87417, 87417, 273152, 35, 1128453, 289779, 289780, 289781, 35061, 273152, 35, 210871, 273152, 35, 210871, 289780, 1128453, 1128453, 289780]]"
35,1128959,"[[35, 56709, 82920, 210871, 210872, 210872], [210871, 1128959, 35, 35, 210871, 35]]","[[35, 35, 35, 35, 35, 12576, 12576, 28287, 28290, 28290, 35061, 44514, 56708, 56708, 56709, 56709, 82920, 82920, 210871, 210871, 210872, 210872, 210872, 273152], [12576, 210871, 273152, 28290, 35061, 28290, 56709, 56709, 28287, 56709, 210871, 210871, 28287, 56709, 1128959, 28287, 273152, 35, 273152, 35, 210871, 273152, 35, 210871]]","[[35, 35, 35, 35, 35, 35, 35, 114, 887, 887, 4584, 4584, 6213, 12576, 12576, 12576, 28287, 28290, 28290, 32083, 35061, 44514, 56708, 56708, 56709, 56709, 82920, 82920, 83725, 141342, 210871, 210871, 210871, 210872, 210872, 210872, 273152], [12576, 141342, 210871, 273152, 28290, 35061, 887, 28287, 12576, 6213, 28287, 6213, 12576, 28290, 56709, 83725, 56709, 28287, 56709, 35061, 210871, 210871, 28287, 56709, 1128959, 28287, 273152, 35, 12576, 35061, 273152, 35, 887, 210871, 273152, 35, 210871]]"
35,1128985,"[[35, 44455, 44455, 54132, 82920, 210871, 210872, 210872, 227178], [210871, 1128985, 227178, 1128985, 35, 35, 210871, 35, 1128985]]","[[35, 35, 35, 35, 35061, 41714, 44455, 44455, 44455, 44514, 54132, 82920, 82920, 210871, 210871, 210872, 210872, 210872, 227178, 273152], [210871, 273152, 35061, 41714, 210871, 44455, 1128985, 227178, 41714, 210871, 1128985, 273152, 35, 273152, 35, 210871, 273152, 35, 1128985, 210871]]","[[35, 35, 35, 35, 35, 32083, 35061, 41714, 44455, 44455, 44455, 44514, 54132, 82920, 82920, 141342, 210871, 210871, 210872, 210872, 210872, 227178, 273152], [141342, 210871, 273152, 35061, 41714, 35061, 210871, 44455, 1128985, 227178, 41714, 210871, 1128985, 273152, 35, 35061, 273152, 35, 210871, 273152, 35, 1128985, 210871]]"
35,1129018,"[[35, 82920, 94641, 210871, 210872, 210872], [210871, 35, 1129018, 35, 210871, 35]]","[[35, 35, 35, 35, 35061, 44514, 82920, 82920, 94641, 210871, 210871, 210871, 210872, 210872, 210872, 273152, 575077], [210871, 273152, 35061, 575077, 210871, 210871, 273152, 35, 1129018, 273152, 35, 575077, 210871, 273152, 35, 210871, 94641]]","[[35, 35, 35, 35, 35, 32083, 35061, 44514, 82920, 82920, 94641, 141342, 210871, 210871, 210871, 210872, 210872, 210872, 273152, 575077], [141342, 210871, 273152, 35061, 575077, 35061, 210871, 210871, 273152, 35, 1129018, 35061, 273152, 35, 575077, 210871, 273152, 35, 210871, 94641]]"
35,1129027,"[[35, 35, 82920, 85352, 210871, 210872, 210872], [210871, 85352, 35, 1129027, 35, 210871, 35]]","[[35, 35, 35, 35, 35061, 44514, 82920, 82920, 85352, 210871, 210871, 210872, 210872, 210872, 273152], [210871, 273152, 35061, 85352, 210871, 210871, 273152, 35, 1129027, 273152, 35, 210871, 273152, 35, 210871]]","[[35, 35, 35, 35, 35, 32083, 35061, 44514, 82920, 82920, 85352, 141342, 210871, 210871, 210872, 210872, 210872, 273152], [141342, 210871, 273152, 35061, 85352, 35061, 210871, 210871, 273152, 35, 1129027, 35061, 273152, 35, 210871, 273152, 35, 210871]]"
35,1129573,"[[35, 35, 12576, 56115, 82920, 210871, 210872, 210872], [12576, 210871, 1129573, 1129573, 35, 35, 210871, 35]]","[[35, 35, 35, 35, 35, 887, 887, 6213, 12576, 12576, 12576, 35061, 44514, 56112, 56112, 56115, 82920, 82920, 83725, 83725, 83725, 210871, 210871, 210871, 210872, 210872, 210872, 273152], [12576, 210871, 273152, 35061, 887, 12576, 6213, 12576, 1129573, 56112, 83725, 210871, 210871, 56115, 83725, 1129573, 273152, 35, 12576, 56112, 56115, 273152, 35, 887, 210871, 273152, 35, 210871]]","[[35, 35, 35, 35, 35, 35, 35, 887, 887, 887, 4584, 4584, 6151, 6213, 6213, 6741, 12576, 12576, 12576, 32083, 35061, 44514, 56112, 56112, 56115, 82920, 82920, 83725, 83725, 83725, 141342, 198653, 210871, 210871, 210871, 210871, 210872, 210872, 210872, 273152], [12576, 141342, 198653, 210871, 273152, 35061, 887, 12576, 6151, 6213, 6151, 6213, 6213, 12576, 6151, 83725, 1129573, 56112, 83725, 35061, 210871, 210871, 56115, 83725, 1129573, 273152, 35, 12576, 56112, 56115, 35061, 887, 198653, 273152, 35, 887, 210871, 273152, 35, 210871]]"
35,1129683,"[[35, 35, 12337, 70970, 82920, 82920, 82920, 82920, 210871, 210872, 210872, 608326], [210871, 608326, 1129683, 1129683, 1129683, 35, 608326, 70970, 35, 210871, 35, 1129683]]","[[35, 35, 35, 35, 35, 12337, 35061, 44514, 70970, 82920, 82920, 82920, 82920, 82920, 141342, 141342, 141342, 210871, 210871, 210872, 210872, 210872, 273152, 608190, 608190, 608191, 608326], [141342, 210871, 273152, 35061, 608326, 1129683, 210871, 210871, 1129683, 1129683, 273152, 35, 608326, 70970, 35061, 608191, 70970, 273152, 35, 210871, 273152, 35, 210871, 608191, 70970, 70970, 1129683]]","[[35, 35, 35, 35, 35, 35, 12337, 32083, 35061, 44514, 70970, 82920, 82920, 82920, 82920, 82920, 141342, 141342, 141342, 210871, 210871, 210871, 210872, 210872, 210872, 273152, 575077, 575077, 608190, 608190, 608191, 608326], [141342, 210871, 273152, 35061, 575077, 608326, 1129683, 35061, 210871, 210871, 1129683, 1129683, 273152, 35, 608326, 70970, 35061, 608191, 70970, 273152, 35, 575077, 210871, 273152, 35, 210871, 608190, 608191, 608191, 70970, 70970, 1129683]]"
35,1129778,"[[35, 35, 35, 66556, 82920, 103515, 103515, 210871, 210872, 210872, 575402], [103515, 210871, 66556, 1129778, 35, 1129778, 575402, 35, 210871, 35, 1129778]]","[[35, 35, 35, 35, 35, 35, 35, 35, 35, 8865, 35061, 44514, 66556, 78511, 82920, 82920, 85352, 103515, 103515, 210871, 210871, 210871, 210872, 210872, 210872, 273152, 575077, 575402], [103515, 210871, 273152, 35061, 575077, 66556, 78511, 85352, 8865, 103515, 210871, 210871, 1129778, 575402, 273152, 35, 66556, 1129778, 575402, 273152, 35, 575077, 210871, 273152, 35, 210871, 66556, 1129778]]","[[35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 8865, 32083, 35061, 44514, 66556, 78511, 78552, 78552, 78557, 82920, 82920, 85352, 103515, 103515, 141342, 141342, 210871, 210871, 210871, 210872, 210872, 210872, 273152, 575077, 575402], [103515, 141342, 210871, 273152, 35061, 575077, 66556, 78511, 85352, 8865, 103515, 35061, 210871, 210871, 1129778, 575402, 78511, 78557, 78511, 273152, 35, 66556, 1129778, 575402, 35061, 78511, 273152, 35, 575077, 210871, 273152, 35, 210871, 66556, 1129778]]"
35,1130847,"[[35, 35, 35, 82920, 210871, 210872, 210872, 287787, 287787, 634938], [210871, 287787, 634938, 35, 35, 210871, 35, 1130847, 634938, 1130847]]","[[35, 35, 35, 35, 35, 35061, 44514, 82920, 82920, 110041, 210871, 210871, 210872, 210872, 210872, 273152, 287787, 287787, 634938], [210871, 273152, 287787, 35061, 634938, 210871, 210871, 273152, 35, 287787, 273152, 35, 210871, 273152, 35, 210871, 1130847, 634938, 1130847]]","[[35, 35, 35, 35, 35, 35, 32083, 35061, 44514, 82920, 82920, 110041, 141342, 210871, 210871, 210872, 210872, 210872, 273152, 287787, 287787, 634938], [141342, 210871, 273152, 287787, 35061, 634938, 35061, 210871, 210871, 273152, 35, 287787, 35061, 273152, 35, 210871, 273152, 35, 210871, 1130847, 634938, 1130847]]"
35,1130856,"[[35, 35, 82920, 210871, 210872, 210872, 287787], [210871, 287787, 35, 35, 210871, 35, 1130856]]","[[35, 35, 35, 35, 35061, 44514, 82920, 82920, 110041, 210871, 210871, 210872, 210872, 210872, 273152, 287787], [210871, 273152, 287787, 35061, 210871, 210871, 273152, 35, 287787, 273152, 35, 210871, 273152, 35, 210871, 1130856]]","[[35, 35, 35, 35, 35, 32083, 35061, 44514, 82920, 82920, 110041, 141342, 210871, 210871, 210872, 210872, 210872, 273152, 287787], [141342, 210871, 273152, 287787, 35061, 35061, 210871, 210871, 273152, 35, 287787, 35061, 273152, 35, 210871, 273152, 35, 210871, 1130856]]"
35,1131116,"[[35, 35, 82920, 82920, 148341, 210871, 210872, 210872, 259702, 263069, 263069], [210871, 259702, 259702, 35, 1131116, 35, 210871, 35, 1131116, 1131116, 148341]]","[[35, 35, 35, 35, 35, 35061, 44514, 82920, 82920, 82920, 148341, 210871, 210871, 210872, 210872, 210872, 259702, 263069, 263069, 273152, 640617], [210871, 259702, 273152, 35061, 640617, 210871, 210871, 259702, 273152, 35, 1131116, 273152, 35, 210871, 273152, 35, 1131116, 1131116, 148341, 210871, 259702]]","[[35, 35, 35, 35, 35, 35, 35, 32083, 35061, 44514, 82920, 82920, 82920, 85352, 141342, 148341, 210871, 210871, 210872, 210872, 210872, 259702, 263069, 263069, 273152, 640617], [141342, 210871, 259702, 273152, 35061, 640617, 85352, 35061, 210871, 210871, 259702, 273152, 35, 640617, 35061, 1131116, 273152, 35, 210871, 273152, 35, 1131116, 1131116, 148341, 210871, 259702]]"
35,1131360,"[[35, 35, 1688, 82920, 210871, 210872, 210872, 307656, 646900], [1688, 210871, 1131360, 35, 35, 210871, 35, 1131360, 1131360]]","[[35, 35, 35, 35, 1688, 35061, 44514, 58758, 82920, 82920, 210871, 210871, 210872, 210872, 210872, 273152, 307656, 646900], [1688, 210871, 273152, 35061, 1131360, 210871, 210871, 1688, 273152, 35, 273152, 35, 210871, 273152, 35, 210871, 1131360, 1131360]]","[[35, 35, 35, 35, 35, 1688, 32083, 35061, 44514, 58758, 58758, 82920, 82920, 141342, 210871, 210871, 210872, 210872, 210872, 273152, 307656, 576973, 646900], [141342, 1688, 210871, 273152, 35061, 1131360, 35061, 210871, 210871, 1688, 576973, 273152, 35, 35061, 273152, 35, 210871, 273152, 35, 210871, 1131360, 58758, 1131360]]"
35,1131752,"[[35, 35, 82920, 210871, 210872, 210872, 577227], [210871, 577227, 35, 35, 210871, 35, 1131752]]","[[35, 35, 35, 35, 35061, 44514, 82920, 82920, 210871, 210871, 210872, 210872, 210872, 273152, 577227], [210871, 273152, 35061, 577227, 210871, 210871, 273152, 35, 273152, 35, 210871, 273152, 35, 210871, 1131752]]","[[35, 35, 35, 35, 35, 32083, 35061, 44514, 82920, 82920, 141342, 210871, 210871, 210872, 210872, 210872, 273152, 577227], [141342, 210871, 273152, 35061, 577227, 35061, 210871, 210871, 273152, 35, 35061, 273152, 35, 210871, 273152, 35, 210871, 1131752]]"
